Category ID	Category Name	Number	Name


67	Town / Classic Town / Supplemental	0011-2	Town Mini-Figures
34	Space / Supplemental	0012-1	Space Mini-Figures
34	Space / Supplemental	0013-1	Space Mini-Figures
34	Space / Supplemental	0014-1	Space Mini-Figures
34	Space / Supplemental	0015-1	Space Mini-Figures
9	Castle / Classic Castle	0016-1	Castle Mini Figures
167	DUPLO / Playhouse	032-1	Living Room
167	DUPLO / DUPLO, Town / Farm	033-1	Farm Set Animals
167	DUPLO / Playhouse	041-2	Playhouse (Play House)
167	DUPLO / DUPLO, Town / Farm	045-1	Farm
124	Train / Supplemental / 4.5V	100-1	4.5V Motor with Wheels (Small Version)
124	Train / Supplemental / 4.5V	101-1	4.5V Battery Case
124	Train / Supplemental / 4.5V	102-1	4.5V Motor Set
166	Educational & Dacta / DUPLO / Supplemental	1023-1	Giant Red Baseplate
166	Educational & Dacta / DUPLO / Supplemental	1028-1	6 x 12 Base Bricks
67	Town / Classic Town / Food & Drink	1029-1	Milk Delivery Truck - Tine
422	Universal Building Set / Supplemental	103-1	4.5V Motor Set with Rubber Tracks
166	Educational & Dacta / Technic	1030-1	TECHNIC I: Simple Machines Set
166	Educational & Dacta / Technic / Supplemental	1031-1	Building Cards - 1030
166	Educational & Dacta / Technic	1032-1	TECHNIC II Set 4.5v
166	Educational & Dacta / Technic / Supplemental	1033-1	Building Cards for Set 1032
166	Educational & Dacta / DUPLO / DUPLO, Town / Farm	1040-1	Farm - 76 elements and a picture book (1991 version)
166	Educational & Dacta / DUPLO / DUPLO, Town / Harbor	1041-1	Harbor - 70 elements
166	Educational & Dacta / DUPLO / Supplemental	1042-1	Community People
166	Educational & Dacta / DUPLO / DUPLO, Town / Farm	1043-1	Farm Animals and Fences
166	Educational & Dacta / DUPLO / DUPLO, Town / Traffic	1044-1	Community Vehicles
166	Educational & Dacta / DUPLO / Supplemental	1045-1	Industrial Elements
166	Educational & Dacta / DUPLO / DUPLO, Train	1046-1	Train Set
166	Educational & Dacta / DUPLO / DUPLO, Train	1047-1	Extra Track
166	Educational & Dacta / DUPLO / DUPLO, Train	1048-1	Bridge and Crossing Tracks
67	Town / Classic Town / Post Office	105-1	Canada Post Truck
67	Town / Classic Town / Off-Road	106-1	UNICEF Van
166	Educational & Dacta / Town	1060-1	Road Plates and Signs
36	Technic / Throwbot / Slizer	1061-1	Single Disk Pack polybag
166	Educational & Dacta / Town	1063-1	Community Workers
166	Educational & Dacta / Town	1067-1	Community Vehicles
67	Town / Extreme Team	1068-1	Air Patrol
67	Town / Classic Town / Harbor	1069-1	Speedboat
67	Town / Classic Town / Post Office	107-2	Canada Post Mail Truck
67	Town / Extreme Team	1070-1	Stunt Flyer
166	Educational & Dacta / DUPLO / Basic Set	1071-1	Supplementary Set - Bricks 2 x 2 and 2 x 4 - 56 elements
166	Educational & Dacta / DUPLO / Mosaic	1078-1	Animal Mosaic Puzzle - 72 elements, 4 Domestic Animals
166	Educational & Dacta / Supplemental	1082-1	Roof Bricks
67	Town / Extreme Team	1088-1	Road Burner
53	Adventurers / Desert	1094-1	Johnny Thunder
54	Aquazone / Hydronauts	1095-1	Super Sub
