Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions


179	Racers / Drome Racers	8470-1	Slammer G-Force	2002	102	? x ? x ?
36	Technic / RoboRiders	1292-1	Frost Flyer	2000	?	? x ? x ?
277	LEGOLAND / Fire	691-1	Rescue Helicopter	1974	3.4	20 x 6.5 x 4
277	LEGOLAND / Space	367-1	Moon Landing	1975	20	35.1 x 19.9 x 5
422	Universal Building Set / Basic Model	2121-1	Jack in the Box Promotional Set: Stomper polybag	1997	?	? x ? x ?
78	FreeStyle	3234-1	Fantasy Boat polybag	1998	5.8	17 x 16 x 1
395	Samsonite / Universal Building Set / Gears	001-1	Gears	1965	3	39.37 x 20.32 x 5.08
423	Classic / Supplemental	217-2	4 x 4 Corner Bricks	1958	?	? x ? x ?
85	Homemaker	293-1	Piano	1973	3.4	12.4 x 9.9 x 4.9
277	LEGOLAND / Vehicle / Food & Drink	645-2	Milk Float & Trailer	1971	3.4	15 x 6.5 x 4
395	Samsonite / Universal Building Set / Gears	003-1	Master Mechanic Set	1966	?	? x ? x ?
423	Classic / Supplemental	402-2	White Turntables	1964	1	? x ? x ?
423	Classic / Supplemental	519-1	2 x 3 Plates (cardboard box version)	1962	1.5	9 x 6.5 x 3.6
422	Universal Building Set / Basic	357-2	Basic Building Set	1987	?	52 x 29 x 7.5
78	FreeStyle	2146-1	FreeStyle with Storage Case	1996	?	59 x 43 x 11.5
166	Educational & Dacta / Technic	1038-1	Universal Buggy	1985	16	29 x 23 x 7.3
78	FreeStyle	1868-1	FreeStyle Box #1	1996	?	21.5 x 23.9 x 9.6
277	LEGOLAND / Building	540-3	Swiss Villa	1973	7.2	30 x 15 x 5
78	FreeStyle	1860-1	FreeStyle Set polybag #5	1995	5.7	? x ? x ?
422	Universal Building Set / Basic	1615-1	Basic Set in Bucket	1987	?	? x ? x ?
277	LEGOLAND / Construction	492-1	Truck & Payloader	1977	5	? x ? x ?
277	LEGOLAND / Construction	545-2	Conveyor Station	1973	?	? x ? x ?
78	FreeStyle	4138-1	Value Set with Storage Bag	1997	?	? x ? x ?
78	FreeStyle	4150-1	FreeStyle Building Set	1995	?	? x ? x ?
78	FreeStyle	4157-1	FreeStyle Trial Size polybag #2	1997	?	? x ? x ?
78	FreeStyle	4158-1	Small FreeStyle Box	1997	?	? x ? x ?
78	FreeStyle	4258-1	Big Box Play Scape	1998	?	? x ? x ?
166	Educational & Dacta / Supplemental	1072-1	Supplementary LEGO Set	1976	?	? x ? x ?
422	Universal Building Set / Basic	347-2	Basic Building Set	1987	?	38.3 x 29 x 7.8
422	Universal Building Set / Basic	1676-1	Basic Building Set	1990	?	? x ? x ?
78	FreeStyle	1850-1	FreeStyle Set polybag #4	1995	?	? x ? x ?
78	FreeStyle	4148-1	Large FreeStyle Clearpack	1997	?	20 x 12 x 30
78	FreeStyle	4255-1	Bonus Backpack Set	1998	?	? x ? x ?
78	FreeStyle	4280-1	FreeStyle Trial Size	1998	?	? x ? x ?
422	Universal Building Set / Basic Set	2199-1	Large Bulk Bucket	1997	?	? x ? x ?
277	LEGOLAND / Construction	692-1	Road Repair Crew	1975	3.4	20 x 6.5 x 4
