Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)


102	Scala	scaFemA05	Scala Doll Female Adult (Olivia)	1998	31
102	Scala	x30	Scala Doll Male Adult (Christian)	1997	36
54	Aquazone / Aquanauts	aqu001	Aquanaut 1	1995	4.96
54	Aquazone / Aquanauts	aqu002	Aquanaut 2	1995	5
54	Aquazone / Aquanauts	aqu003	Aquanaut 3	1995	4.95
54	Aquazone / Aquaraiders I	aqu004	Aquaraider 1 with Hook	1997	6
54	Aquazone / Aquaraiders I	aqu005	Aquaraider 2	1997	6
54	Aquazone / Aquasharks	aqu006	Aquashark 1	1995	5.46
54	Aquazone / Aquasharks	aqu007	Aquashark 2	1996	5.43
54	Aquazone / Aquasharks	aqu008	Aquashark Hybrid	1998	3.87
54	Aquazone / Hydronauts	aqu009	Navigator Hip "Muddy" Waders	1998	5.09
54	Aquazone	aqu010	Aquazone	?	5.09
54	Aquazone / Hydronauts	aqu011	Crystal Miner	1998	5
54	Aquazone / Stingrays	aqu012	Raven Ray	1998	3.86
54	Aquazone / Stingrays	aqu013	Commander Manta Ray	1998	3.86
54	Aquazone / Stingrays	aqu014	Navigator Stinger Ray	1998	3.86
9	Castle / Dark Forest	cas004	Dark Forest - Forestman 1	1996	3.5
9	Castle / Dark Forest	cas006	Dark Forest - Forestman 2	1996	3.5
9	Castle / Dark Forest	cas008	Dark Forest - Forestman 3 with Quiver	1996	4
9	Castle / Dark Forest	cas009	Dark Forest - Forestman 4, Light Gray Legs with Black Hips	1997	3.62
9	Castle / Dark Forest	cas010	Dark Forest - Forestman 4, Brown Legs	1996	3.62
9	Castle / Dragon Knights	cas011	Dragon Knights - Dragon Master, Red Plumes	1994	4.4
9	Castle	cas012	Castle	?	3.6
9	Castle / Dragon Knights	cas013	Dragon Knights - Knight 1, Light Gray Legs with Black Hips, Black Neck-Protector	1993	3.68
9	Castle / Dragon Knights	cas014	Dragon Knights - Knight 1, Light Gray Legs, Black Neck-Protector	1994	3.68
9	Castle / Dragon Knights	cas015	Dragon Knights - Knight 2, Black Legs with Red Hips, Black Dragon Helmet, Blue Plumes	1993	4.4
9	Castle / Dragon Knights	cas016	Dragon Knights - Knight 2, Black Legs with Red Hips, Dark Gray Neck-Protector	1996	3.58
9	Castle / Dragon Knights	cas017	Dragon Knights - Knight 2, Black Legs, Black Dragon Helmet, Red Plumes	1994	4.4
9	Castle / Dragon Knights	cas018	Dragon Knights - Knight 2, Black Legs with Red Hips, Black Dragon Helmet, Yellow Plumes	1993	4.4
9	Castle / Dragon Knights	cas019	Majisto Wizard	1995	4.77
9	Castle / Fright Knights	cas022	Fright Knights - Bat Lord with Cape	1997	3.87
9	Castle / Fright Knights	cas023	Fright Knights - Knight 1, Black Dragon Helmet, no Plume	1997	3.89
9	Castle / Fright Knights	cas026	Fright Knights - Knight 2, Black Neck-Protector	1997	3.79
9	Castle / Fright Knights	cas027	Fright Knights - Knight 2, Black Chin-Guard	1997	3.65
9	Castle / Fright Knights	cas029	Fright Knights - Knight 3, Red Legs with Black Hips, Black Neck-Protector	1997	3.66
9	Castle / Fright Knights	cas030	Fright Knights - Knight 3, Red Legs, Black Neck-Protector	1997	3.66
