Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To

0	(Not Applicable)		N/A	5823	14734	88818	15613	1954	2025
41	Aqua	BCE5DC	Solid	82	60	1263	138	1998	2006
11	Black	212121	Solid	13691	14091	18994	14178	1957	2025
7	Blue	0057A6	Solid	4416	9164	7912	4934	1950	2025
97	Blue-Violet	506CEF	Solid	38	19	754	63	2004	2005
36	Bright Green	10CB31	Solid	930	2655	2599	1058	1950	2025
105	Bright Light Blue	BCD1ED	Solid	630	850	2467	713	2004	2025
110	Bright Light Orange	FFC700	Solid	1572	2364	3116	1680	2003	2025
103	Bright Light Yellow	FFF08C	Solid	675	1266	2282	732	2004	2025
104	Bright Pink	F7BCDA	Solid	801	1725	1833	875	2003	2025
8	Brown	6B3F22	Solid	578	1100	3610	982	1974	2006
227	Clikits Lavender	E0AAD9	Solid	10	12	522	17	2005	2005
220	Coral	FF8172	Solid	291	534	1007	299	2019	2025
153	Dark Azure	009FE0	Solid	983	1434	2189	1034	2011	2025
63	Dark Blue	243757	Solid	2764	2720	4996	2866	1961	2025
109	Dark Blue-Violet	2032B0	Solid	8	6	911	19	2004	2006
85	Dark Bluish Gray	595D60	Solid	4464	7800	8419	4987	1991	2025
120	Dark Brown	50372F	Solid	915	2183	3002	988	2007	2025
10	Dark Gray	6B5A5A	Solid	1050	1705	4039	1523	1961	2006
80	Dark Green	2E5543	Solid	1097	1455	3235	1190	1961	2025
225	Dark Nougat	CE7942	Solid	3	10	841	52	2001	2004
242	Dark Olive Green	76753F	Solid	1	1	252	8		
68	Dark Orange	B35408	Solid	975	2328	2550	1060	1994	2025
47	Dark Pink	EF5BB3	Solid	959	1638	1803	1024	1994	2025
89	Dark Purple	5F2683	Solid	1180	1579	2499	1295	2000	2025
59	Dark Red	6A0E15	Solid	2049	2315	4271	2131	1957	2025
231	Dark Salmon	FF6326	Solid	5	4	144	7	2003	2003
69	Dark Tan	B89869	Solid	1378	3095	3457	1454	1961	2025
39	Dark Turquoise	00A29F	Solid	890	1235	2034	972	1998	2025
161	Dark Yellow	DD982E	Solid	5	5	667	20	2004	2005
29	Earth Orange	E6881D	Solid	44	85	957	59	1982	2005
106	Fabuland Brown	B3694E	Solid	7	26	1193	14	1979	1991
248	Fabuland Lime	ADD237	Solid	9	5	298	13	1982	1986
160	Fabuland Orange	EF9121	Solid	2	3	450	6	1983	1987
6	Green	00923D	Solid	2243	6056	5035	2595	1949	2025
154	Lavender	D3BDE3	Solid	464	720	1090	525	2011	2025
171	Lemon	EDDC44	Solid	3	1	17	3	1992	1992
