Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To

0	(Not Applicable)		N/A	4823	12842	66759	12015	1954	2022
41	Aqua	BCE5DC	Solid	82	60	1443	127	1998	2006
11	Black	212121	Solid	11430	12163	16496	11700	1957	2022
7	Blue	0057A6	Solid	3928	8117	7232	4328	1950	2022
97	Blue-Violet	506CEF	Solid	38	19	857	60	2004	2005
36	Bright Green	10CB31	Solid	626	1885	2412	713	1950	2022
105	Bright Light Blue	BCD1ED	Solid	453	526	1508	489	2004	2022
110	Bright Light Orange	FFC700	Solid	1080	1622	2794	1173	2003	2022
103	Bright Light Yellow	FFF08C	Solid	439	797	2062	479	2004	2022
104	Bright Pink	F7BCDA	Solid	590	1187	1568	647	2003	2022
8	Brown	6B3F22	Solid	581	1090	3546	937	1974	2006
227	Clikits Lavender	E0AAD9	Solid	10	12	426	14	2005	2005
220	Coral	FF8172	Solid	168	258	612	173	2019	2022
153	Dark Azure	009FE0	Solid	677	898	1853	705	2011	2022
63	Dark Blue	243757	Solid	2115	2026	4312	2212	1961	2022
109	Dark Blue-Violet	2032B0	Solid	9	7	1012	18	2004	2006
85	Dark Bluish Gray	595D60	Solid	3785	6292	7672	4182	1991	2022
120	Dark Brown	50372F	Solid	713	1601	2893	760	2007	2022
10	Dark Gray	6B5A5A	Solid	1055	1701	4195	1448	1961	2006
80	Dark Green	2E5543	Solid	878	1001	3073	960	1961	2022
225	Dark Nougat	CE7942	Solid	3	10	758	24	2001	2004
242	Dark Olive Green	76753F	Solid			80			
68	Dark Orange	B35408	Solid	731	1629	2331	773	1994	2022
47	Dark Pink	EF5BB3	Solid	731	1205	1502	795	1994	2022
89	Dark Purple	5F2683	Solid	974	1187	2202	1069	2003	2022
59	Dark Red	6A0E15	Solid	1602	1769	3975	1684	1961	2022
231	Dark Salmon	FF6326	Solid	5	4	86	5	2003	2003
69	Dark Tan	B89869	Solid	1058	2275	3138	1101	1961	2022
39	Dark Turquoise	00A29F	Solid	610	705	1610	674	1998	2022
161	Dark Yellow	DD982E	Solid	5	5	652	20	2004	2005
29	Earth Orange	E6881D	Solid	42	87	942	58	1982	2005
106	Fabuland Brown	B3694E	Solid	7	26	1238	21	1979	1991
248	Fabuland Lime	ADD237	Solid	9	5	67	10	1982	1986
160	Fabuland Orange	EF9121	Solid	2	3	439	3	1983	1987
6	Green	00923D	Solid	2016	5181	4803	2321	1949	2022
154	Lavender	D3BDE3	Solid	328	451	807	378	2011	2022
152	Light Aqua	CFEFEA	Solid	439	514	937	462	2011	2022
62	Light Blue	C8D9E1	Solid	19	18	817	88	1950	2007
86	Light Bluish Gray	AFB5C7	Solid	4375	6837	8136	4882	1993	2022
91	Light Brown	99663E	Solid	40	28	1630	76	2002	2006
9	Light Gray	9C9C9C	Solid	1860	3199	5771	2427	1954	2008
38	Light Green	D7EED1	Solid	65	57	629	109	1992	2005
246	Light Lilac	CDCCEE	Solid	1	1	8	1	2004	2004
35	Light Lime	ECEEBD	Solid	20	16	408	43	1992	2007
90	Light Nougat	FECCB0	Solid	1675	1652	3170	1677	2004	2022
32	Light Orange	FFBC36	Solid	18	18	466	58	1998	2004
56	Light Pink	F2D3D1	Solid	3	4	484	52	1999	2007
93	Light Purple	AF3195	Solid	26	19	599	55	2003	2006
26	Light Salmon	FCC7B7	Solid	50	21	453	55	1997	2002
40	Light Turquoise	00C5BC	Solid	58	40	724	82	1998	2004
44	Light Violet	C9CAE2	Solid	69	38	357	86	1994	2002
33	Light Yellow	FEE89F	Solid	102	69	1243	155	1994	2005
245	Lilac	7862CE	Solid	6	6	37	4	2004	2005
34	Lime	C4E000	Solid	1655	2479	2848	1811	1993	2022
247	Little Robots Blue	5DBFE4	Solid	2	2	10	1	2003	2004
72	Maersk Blue	7DC1D8	Solid	84	14	633	101	1974	2011
71	Magenta	B72276	Solid	569	944	1430	621	2000	2022
156	Medium Azure	6ACEE0	Solid	823	1362	1819	886	2012	2022
42	Medium Blue	82ADD8	Solid	822	1109	2044	905	1949	2022
