Store Name,Country,State
#ARIZONA,,
LEGO Store Arrowhead Towne Center,USA,ARIZONA
LEGO Store Chandler Fashion Center,USA,ARIZONA
#CALIFORNIA,,
LEGO Store Downtown Disney District,USA,CALIFORNIA
LEGO Store Fashion Valley,USA,CALIFORNIA
LEGO Store Glendale Galleria,USA,CALIFORNIA
LEGO Store Hillsdale Shopping Center,USA,CALIFORNIA
LEGO Store Ontario Mills,USA,CALIFORNIA
LEGO Store South Coast Plaza,USA,CALIFORNIA
LEGO Store Stoneridge Mall,USA,CALIFORNIA
LEGO Store The Shops At Mission Viejo,USA,CALIFORNIA
LEGO Store UTC Mall,USA,CALIFORNIA
LEGO Store Westfield Galleria At Roseville,USA,CALIFORNIA
LEGO Store Westfield San Francisco Center,USA,CALIFORNIA
LEGO Store Westfield Topanga,USA,CALIFORNIA
LEGO Store Westfield Valley Fair,USA,CALIFORNIA
#COLORADO,,
LEGO Store Colorado Mills,USA,COLORADO
LEGO Store Park Meadows,USA,COLORADO
#CONNECTICUT,,
LEGO Store Danbury Fair,USA,CONNECTICUT
LEGO Store Westfarms Mall,USA,CONNECTICUT
#DELAWARE,,
LEGO Store Christiana Mall,USA,DELAWARE
#FLORIDA,,
LEGO Store Aventura Mall,USA,FLORIDA
LEGO Store Dadeland Mall,USA,FLORIDA
LEGO Store Disney Springs,USA,FLORIDA
LEGO Store Sawgrass Mills,USA,FLORIDA
LEGO Store St Johns Town Center,USA,FLORIDA
LEGO Store Town Center At Boca Raton,USA,FLORIDA
LEGO Store Westfield Brandon Mall,USA,FLORIDA
#GEORGIA,,
LEGO Store North Point Mall,USA,GEORGIA
LEGO Store Sugarloaf Mills,USA,GEORGIA
#HAWAII,,
LEGO Store Ala Moana Center,USA,HAWAII
#ILLINOIS,,
LEGO Store Gurnee Mills,USA,ILLINOIS
LEGO Store Northbrook Court,USA,ILLINOIS
LEGO Store Orland Square,USA,ILLINOIS
LEGO Store Water Tower Place,USA,ILLINOIS
LEGO Store Woodfield Mall,USA,ILLINOIS
#INDIANA,,
LEGO Store Castleton Square,USA,INDIANA
#KANSAS,,
LEGO Store Oak Park Mall,USA,KANSAS
#KENTUCKY,,
LEGO Store Oxmoor Center,USA,KENTUCKY
#LOUISIANA,USA,
LEGO Store Lakeside Mall,USA,LOUISIANA
#MARYLAND,,
LEGO Store Arundel Mills,USA,MARYLAND
LEGO Store Westfield Annapolis,USA,MARYLAND
LEGO Store Westfield Montgomery,USA,MARYLAND
#MASSACHUSETTS,,
LEGO Store Burlington Mall,USA,MASSACHUSETTS
LEGO Store Natick Mall,USA,MASSACHUSETTS
LEGO Store Northshore Mall,USA,MASSACHUSETTS
LEGO Store South Shore Plaza,USA,MASSACHUSETTS
